Código	Año	mes	Dia1	Dia2	Dia3	Dia4	Dia5	Dia6	Dia7	Dia8	Dia9	Dia10	Dia11	Dia12	Dia13	Dia14	Dia15	Dia16	Dia17	Dia18	Dia19	Dia20	Dia21	Dia22	Dia23	Dia24	Dia25	Dia26	Dia27	Dia28	Dia29	Dia30	Dia31
M0470	1982	1	8	2	10	9	7	8	7	8	0	0	0	5	4	7	2	32.5	4.8	0	2	0	72	8	20.2	0	0	0	4.8	7.2	41.4	0.9	148.2
M0470	1982	2	0	5.2	42.1	34.8	42.5	8	1	0	0	10	9	76.4	2.1	0	0	0	0	14	3	9	7	3	4.8	62.6	6.5	64.2	0	4.2	NULL	NULL	NULL
M0470	1982	3	0	53	0	0	0	0	70.3	23.2	0	0	0	0	53.2	52.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M0470	1982	5	0.6	0	0.4	0.8	3	7	50.2	36.6	2.2	1.6	0.3	1.5	14.5	0	0.1	0.3	25.1	1.1	4.5	0.3	22.3	6	0	0	0.7	0	0	0	0	0	0
M0470	1982	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL
M0470	1983	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	17	3.5	3.8	0	1	9.2	9.9	0	0	0	0
M0470	1983	8	44.8	2	14.5	3.4	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9	0	15.6
M0470	1983	9	0	0	0.6	0	0	0	0	26.3	0	37.3	0	30.8	6.8	33.1	0	0	0.9	3.8	0	0.2	0	1.5	1.8	0	0.5	0.1	0.2	0	1.2	0	NULL
M0470	1983	10	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	64.5	1.5	1.8	0	0.8	0.7	0	0	0	0	0	0	0.5	0	0	16.9	2.2
M0470	1983	11	0	0	0	0	0	0.9	0	0	0	0.3	0	0	0	0	0.8	0.2	1.5	0.3	0.4	0	6.8	0.5	0	0	0	34.4	1.2	70.2	0.5	20.3	NULL
M0470	1983	12	0.7	0	2.8	0.5	14	0	0	0	0	0	0	2.6	0	0	0	0	0	0.9	1.5	0	0	0	0	0	0	11.4	0	3.2	15	32.4	14.9
M0470	1984	1	0.6	0	0	0	0	0	0	1.4	0	0	0	0	0	0	2.4	0.3	0	4.4	0.5	55.5	20.5	0	0	0	0	0	0	0	4.3	35.3	7.4
M0470	1984	2	0.8	3.6	7.3	6.8	21.2	38.1	31.3	5.1	2.4	0.1	14.6	20.1	20.4	10.4	17.8	3.7	9.7	11.8	41.2	23.8	50.2	0.7	12.7	15	109.2	0.7	0	33.2	11.1	NULL	NULL
M0470	1984	3	4.8	23.4	9.9	1.4	24.5	2	2.1	0.6	39.6	35.2	34.4	0.8	37.9	39.3	35.8	3.4	1.6	0	0	1.5	0.3	12	19.2	0	0	21.5	0.6	0.2	0.3	0.8	70.8
M0470	1984	4	0.9	0	15.3	0.4	0.2	0	0.1	67	0	0.4	12	29.3	0	0	4.1	2.5	0	1.1	0	11.3	0.2	37.7	22.2	0.3	4.9	6.2	45	6.8	19.2	10.2	NULL
M0470	1984	5	0.2	0.8	0	0	0.6	0	1.8	0	1.7	0	0	0	0	0	0	0.3	0	0	0	0.5	0	0	0	0.3	0	0	1.5	0	0	0	0
M0470	1984	6	0.2	0.3	0	0	0	0.8	0	3.4	9.9	0	2.5	0	4.4	6.1	0.5	0	0	0	0	0	0	0	0	0	0	0	0.2	0.4	0	0	NULL
M0470	1984	7	0	0	0	0	0	0	0	0	0.4	0	0	0.6	0.5	0	0	0	0	0	0	0	0.3	0	0	0	0.2	0	0	0	0	0	0
M0470	1984	8	0	0	0	0.1	0	1.2	0.2	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.4	0.4	0
M0470	1984	9	0	0	0	0	1.3	0.5	0	0	2.7	0.4	0	0	0.2	0.6	0	0	1.2	0	0.4	0.1	0.3	0	2.5	0	0	0	0.9	0	0	0	NULL
