CODIGO	ANIO	MES	DIA	PRECIPITACION	TEMP_MAXIMA	TEMP_MINIMA	VIENTO	PRESION	HUMEDAD	TIEMPO
M0051	1981	1	1	0	NULL	NULL	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	2	0	22	22	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	3	0	22.2	22.2	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	4	0	22.8	22.8	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	5	0	23.2	23.2	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	6	0	23	23	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	7	0	22.6	22.6	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	8	0	NULL	NULL	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	9	0	21.6	21.6	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	10	0	22.8	22.8	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	11	2	NULL	NULL	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	12	37.4	22.5	22.5	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	13	30.1	21.8	21.8	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	14	1.2	21.2	21.2	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	15	0	22	22	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	16	0	21.8	21.8	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	17	29.6	22.3	22.3	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	18	9.5	20.8	20.8	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	19	2.8	21.6	21.6	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	20	10.8	21.4	21.4	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	21	0.1	20.4	20.4	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	22	0	22.5	22.5	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	23	0	22.8	22.8	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	24	0	22.3	22.3	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	25	0	21.6	21.6	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	26	29	21.8	21.8	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	27	0	19.8	19.8	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	28	35.2	22.2	22.2	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	29	0.8	20.6	20.6	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	30	4.8	22.1	22.1	-99.9	-99.9	-99.9	-99.9
M0051	1981	1	31	1.2	20.8	20.8	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	1	3.4	21.9	21.9	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	2	1.3	21.6	21.6	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	3	25.6	21.8	21.8	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	4	17	22	22	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	5	130.8	21.8	21.8	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	6	14.7	21.4	21.4	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	7	22.3	21.8	21.8	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	8	0.7	21.6	21.6	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	9	3.8	23.6	23.6	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	10	0.2	22	22	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	11	3.7	22.6	22.6	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	12	23.9	21.9	21.9	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	13	1.1	21.8	21.8	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	14	46	22.4	22.4	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	15	5.4	21.4	21.4	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	16	1.6	23	23	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	17	3.1	23.5	23.5	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	18	4.1	21.9	21.9	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	19	2.7	22.3	22.3	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	20	49	22.5	22.5	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	21	38.6	23	23	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	22	100.5	23	23	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	23	13.3	22.6	22.6	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	24	1.2	22.8	22.8	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	25	5.9	23.8	23.8	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	26	2	23.4	23.4	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	27	0	22	22	-99.9	-99.9	-99.9	-99.9
M0051	1981	2	28	NULL	24.5	24.5	-99.9	-99.9	-99.9	-99.9
M0051	1981	3	1	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
M0051	1981	3	2	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
M0051	1981	3	3	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
M0051	1981	3	4	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
M0051	1981	3	5	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
M0051	1981	3	6	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
M0051	1981	3	7	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
M0051	1981	3	8	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
M0051	1981	3	9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
M0051	1981	3	10	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
M0051	1981	3	11	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
M0051	1981	3	12	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
M0051	1981	3	13	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
M0051	1981	3	14	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
M0051	1981	3	15	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
M0051	1981	3	16	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
M0051	1981	3	17	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
M0051	1981	3	18	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
M0051	1981	3	19	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
M0051	1981	3	20	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
M0051	1981	3	21	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
